3 0 2 YES 10.08.2020;17:35:39:000000 0.0012450218
1 1 1 NO 10.08.2020;17:35:57:000000 0.0004360676
4 -1 1.5 NO 10.08.2020;17:36:10:000000 0.0002620220
-2 -1 3 YES 10.08.2020;17:36:18:000000 0.0002930164
0 1 1 NO 13.08.2020;15:54:11:000000 0.0006978512
0 1 2 YES 13.08.2020;15:54:15:000000 0.0003881454
1 5 2.5 NO 13.08.2020;15:57:27:000000 0.0006141663
3 -5 1 NO 13.08.2020;16:05:45:000000 0.0026838779
3 -5 2 NO 13.08.2020;16:05:51:000000 0.0003399849
3 -5 2 NO 13.08.2020;16:10:15:000000 0.0007219315
3 -4 1 NO 13.08.2020;16:10:24:000000 0.0003399849
3 -4 1 NO 13.08.2020;16:35:32:000000 0.0006740093
3 -5 2 NO 13.08.2020;16:35:59:000000 0.0006318092
-2 3 2 NO 13.08.2020;16:53:09:000000 0.0016739368
-1 2 1.5 NO 13.08.2020;16:54:45:000000 0.0030300617
-1 2 1.5 NO 13.08.2020;16:54:52:000000 0.0004179478
1 2 2 NO 13.08.2020;18:29:19:000000 0.0009047985
-1 0 2 YES 13.08.2020;18:31:10:000000 0.0012359619
1 0 2.5 NO 13.08.2020;18:39:24:000000 0.0031459332
1 0 1.5 YES 14.08.2020;19:15:27:000000 0.0058200359
1 0 1.5 YES 14.08.2020;19:15:48:000000 0.0005319118
4 3 1 NO 14.08.2020;20:01:35:000000 0.0033869743
3 2 2 NO 14.08.2020;20:01:52:000000 0.0005471706
-4 -5 2 NO 14.08.2020;20:04:00:000000 0.0078370571
-3 -3 1.5 NO 14.08.2020;20:14:09:000000 0.0044441223
-2 -3 1.5 NO 14.08.2020;20:15:04:000000 0.0006480217
2 -3 2 YES 14.08.2020;21:36:27:000000 0.0029728413
-2 -3 2 NO 14.08.2020;21:37:14:000000 0.0005130768
2 -2 1 NO 14.08.2020;21:38:32:000000 0.0027780533
1 3 1 NO 14.08.2020;21:45:06:000000 0.0009760857
-1 2 2.5 NO 14.08.2020;21:45:18:000000 0.0103440285
1 -1 3 YES 15.08.2020;09:36:07:000000 0.0154550076
-1 -1 2 YES 16.08.2020;14:02:14:000000 0.0229678154
1 -1 3 YES 16.08.2020;14:07:13:000000 0.0015292168
-1 -2 2.5 YES 16.08.2020;15:40:34:000000 0.0032148361
1 -1 1.5 YES 16.08.2020;22:17:22:000000 0.0080480576
1 -1 2 YES 16.08.2020;22:18:06:000000 0.0015759468
1 -1 2 YES 16.08.2020;22:18:58:000000 0.0019040108
1 -1 1.5 YES 16.08.2020;22:21:49:000000 0.0012550354
1 -1 2 YES 16.08.2020;22:22:52:000000 0.0013570786
0 0 1.5 YES 17.08.2020;10:34:52:000000 0.0050809383
0 -5 2 NO 17.08.2020;12:19:01:000000 0.0020329952
